"Línea Base: Agricultor: LAC Farmer Details Record Id";"CBL_WetMill Id";"Fecha de creación";"Estado de los contenedores";"Estado despulpadora";"Proceso de fermentación";"Estado tanques antes del proceso";"Estado de drenaje";"Estado de limpieza infraestructura";"Disposición aguas residuales";"Riesgo de contaminación aguas residuales";"Lugar aguas mieles distancia 40";"Métodos de secado";"Estado patio y secadora mecanica";"Estado de secado";"Tiene almacén solo para café";"Incumplimientos"
"21671850";"WM-0002084";"26/11/2014";"Con ranuras o grietas";"Granos enteros y limpios";"Con Desmucilaginadora";"Se limpia antes de cada proceso";"Mal drenaje con charcos";"Sin ranuras o grietas";"Escurrimiento superficial";"No";"No";"Secadora mecánica; Secador solar/marquesina/invernadero";"Con granos de secados anteriores";"El café se seca parejo";"Sí";"Aprobado para la certificación"
"3566410";"WM-0000388";"19/03/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Se limpia antes de cada proceso";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Escurrimiento superficial";"No";"No";"Secadora mecánica; Patio de cemento; Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"No";"Riesgo de mezcla de diferentes calidades"
"3566410";"WM-0002101";"24/12/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Se limpia antes de cada proceso";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Las vierte en fuente de agua sin tratar";"Sí";"Sí";"Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Contaminación de fuentes de agua; Riesgo de mezcla de diferentes calidades"
"3566758";"WM-0000656";"29/03/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Se limpia antes de cada proceso";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Las vierte en fuente de agua sin tratar";"No";"Sí";"Secadora mecánica; Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Riesgo de mezcla de diferentes calidades"
"3566758";"WM-0002100";"24/12/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Hay un dia específico para su limpieza";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Las vierte en fuente de agua sin tratar";"Sí";"Sí";"Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Contaminación de fuentes de agua; Riesgo de mezcla de diferentes calidades"
"98510112";"WM-0000600";"27/03/2014";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"98509454";"WM-0000133";"22/02/2014";"Sin ranuras o grietas";"Granos quebrados o mordidos; Tira grano en la pulpa; Tira pulpa con el grano; Presenta otro daño o defecto";"En pila de concreto";"Hay un dia específico para su limpieza";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Las vierte en fuente de agua sin tratar";"Sí";"No";"Secadora mecánica; Secador solar/marquesina/invernadero";"Con granos de secados anteriores";"El café se seca parejo";"No";"Contaminación de fuentes de agua; Riesgo de mezcla de café cert y no cert"
"98509454";"WM-0002114";"30/01/2015";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Hay un dia específico para su limpieza";"Mal drenaje con charcos";"Con ranuras o grietas";"Las vierte en fuente de agua sin tratar";"Sí";"Sí";"Secadora mecánica; Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"No";"Contaminación de fuentes de agua; Riesgo de contaminación del café; Riesgo de mezcla de café cert y no cert"
"3644328";"WM-0000031";"12/02/2014";"Sin ranuras o grietas";"Tira pulpa con el grano";"En acero inoxidable";"Se limpia antes de cada proceso";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Escurrimiento superficial";"No";"Sí";"Secadora mecánica; Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Aprobado para la certificación"
"15480759";"WM-0000218";"3/03/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Se limpia antes de cada proceso";"Mal drenaje con charcos";"Con ranuras o grietas";"Planta de tratamiento de aguas mieles";"No";"Sí";"Parihuela/cama africana o de madera";"Con granos de secados anteriores";"El café se seca parejo";"Sí";"Aprobado para la certificación"
"15481815";"WM-0000325";"9/03/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Se limpia antes de cada proceso";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Escurrimiento superficial";"No";"Sí";"Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Aprobado para la certificación"
"70420744";"WM-0000186";"27/02/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"Con Desmucilaginadora";"Se limpia antes de cada proceso";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Las vierte en fuente de agua sin tratar";"Sí";"Sí";"Secadora mecánica; Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Riesgo de mezcla de diferentes calidades; Aprobado para la certificación"
"3569759";"WM-0000646";"29/03/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Se limpia antes de cada proceso";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Las vierte en fuente de agua sin tratar";"Sí";"Sí";"Patio de cemento; Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"No";"Contaminación de fuentes de agua"
"6695949";"WM-0000586";"27/03/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Se limpia antes de cada proceso";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Escurrimiento superficial";"No";"Sí";"Secadora mecánica; Parihuela/cama africana o de madera";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Aprobado para la certificación"
"70470876";"WM-0000013";"10/02/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Se limpia antes de cada proceso";"Buen drenaje sin charcos";"Con ranuras o grietas";"Las vierte en fuente de agua sin tratar";"Sí";"Sí";"Secadora mecánica; Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Contaminación de fuentes de agua"
"3411468";"WM-0000651";"29/03/2014";"Sin ranuras o grietas";"Tira pulpa con el grano";"En pila de concreto";"Hay un dia específico para su limpieza";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Escurrimiento superficial";"No";"Sí";"Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"No";"Riesgo de mezcla de café cert y no cert; Riesgo de mezcla de diferentes calidades"
"6695600";"WM-0000184";"26/02/2014";"Sin ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Hay un dia específico para su limpieza";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Escurrimiento superficial";"No";"No";"Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Riesgo de contaminación del café; Aprobado para la certificación"
"15488655";"WM-0000220";"3/03/2014";"Sin ranuras o grietas";"Granos enteros y limpios; Granos quebrados o mordidos";"En pila de concreto";"Se limpia antes de cada proceso";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Escurrimiento superficial";"No";"Sí";"Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Aprobado para la certificación"
"98510002";"WM-0000630";"28/03/2014";"Con ranuras o grietas";"Granos enteros y limpios";"En pila de concreto";"Hay un dia específico para su limpieza";"Buen drenaje sin charcos";"Sin ranuras o grietas";"Las vierte en fuente de agua sin tratar";"Sí";"Sí";"Secador solar/marquesina/invernadero";"Sin granos de secados anteriores";"El café se seca parejo";"Sí";"Riesgo de mezcla de café cert y no cert"
"71494911";"WM-0002090";"17/12/2014";"";"";"";"";"";"";"";"";"";"";"";"";"";""
